Wedding Dress;;;;;;;;;
Title ;Type;Own;Worn by;Used ;Country;Date ;DesingBy;Materials;Collection 
Lady Diana Spencer’s Wedding Dress;Wedding Dress;The Spencer Family ;Diana, princes od Wales ; Wedding of Charles, Prince of Wales and Lady Diana Spencer, 1981;United Kingdom;July 29, 1981;David Emanuel,  Elizabeth Emanuel ;silk fabric, taffeta, lace, carrickmacross lace, pearl, nacre , tulle ;Royal Collection 
